com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
38817,4,0,73,53:00.0,,,55:53.5,55:53.5,73,1.4444443,56.07,2.85,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,54:00.0,61533751-2aae-442e-aa4d-f852cb5185c0
12453,4,0,22,22:00.0,,,22:15.3,22:07.9,22,1.6998918,21.169998,1.1999999,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,23:00.0,04bcfbc4-09cb-4c73-a1d1-f41348aae173
19377,4,0,40,45:00.0,,,55:53.4,55:53.4,40,1.6111112,31.22,1.5,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,46:00.0,95932421-833e-40a2-8fc4-97001c5635fe
13265,4,0,25,46:00.0,,,55:43.8,55:43.8,25,1.4722222,19.53,0.97,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,47:00.0,29057920-5f29-44d4-a597-29f17580c3d3
10769,4,0,19,02:00.0,,,15:25.5,15:25.5,19,1.3055556,14.06,0.7,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,03:00.0,d3afbee1-d984-4aaa-90c5-646e02240df1
12226,4,0,22,49:00.0,,,55:53.1,55:53.1,22,1.5,18.34,1.04,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,50:00.0,d0c9fe56-ff52-4143-ab65-708dfa39dcc2
19225,4,0,38,11:00.0,,,15:44.1,15:44.1,38,1.5833334,30.44,1.42,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,12:00.0,2a9aaa9a-6a91-40ff-be39-cda0e0fdd0b0
57266,4,0,112,53:00.0,,,55:44.1,55:44.1,112,1.5277778,87.49,4.48,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,54:00.0,048a76c3-58e7-4fa9-a408-7292e9123427
492,4,0,1,21:00.0,,,35:49.9,35:49.9,1,1.5833334,0.78,0.04,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,22:00.0,578a596e-6ae8-4a30-873f-f866866c5c42
6525,4,0,13,59:00.0,,,15:00.3,15:00.3,13,1.5555556,10.15,0.49,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,00:00.0,33d234f8-7174-4685-854b-710fb8153ac5
16060,4,0,31,56:00.0,,,15:38.4,15:38.4,31,1.5,24.09,1.24,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,57:00.0,4ac037bb-2d47-4bca-8b10-b6a1667f0297
53893,4,0,104,50:00.0,,,55:53.1,55:53.1,104,1.5,80.84,4.16,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,51:00.0,f92930d7-dd6b-4a1b-ba07-053c8789acda
52944,4,0,108,59:00.0,,,09:48.6,09:48.6,108,1.6111112,85.3,4.27,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,00:00.0,0a4e1f0a-25d6-467c-8a76-4cc5143c0309
38449,4,0,76,43:00.0,,,55:53.3,55:53.3,76,1.5555555,59.81,2.96,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,44:00.0,c16871c8-aa1f-46f0-a7b0-1e6269c56bf0
56352,4,0,112,05:00.0,,,09:48.9,09:48.9,112,1.5555556,87.66,4.48,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,06:00.0,14e45814-694f-4cc5-aca5-f9b1f926b1cc
8010,4,0,15,00:00.0,,,15:00.3,15:00.3,15,1.6666666,13.35,0.75,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,01:00.0,ec5d168d-9c43-4341-8a78-12db61414ffc
59106,4,0,106,11:00.0,,,15:09.3,15:09.3,106,1.3611112,80.45,4.24,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,12:00.0,70945f2f-396f-4edc-bfde-f34d1e5da3a9
43132,4,0,82,58:00.0,,,15:05.6,15:05.6,82,1.4722222,63.5,3.23,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,59:00.0,ad65d615-1641-41bf-ace1-f9725b951c3f
41946,4,0,78,05:00.0,,,15:44.0,15:44.0,78,1.4444444,60.59,3.02,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,06:00.0,d157dc31-9a36-43f1-a4b9-83b8286ca630
14943,4,0,30,54:00.0,,,55:53.5,55:53.5,30,1.5833334,23.66,1.15,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,55:00.0,3f7c0a05-7252-46e0-bbad-b29b4b833482
