,update_time,start_date,start_time,source_type,count,speed,distance,calorie
213,2021-09-16 12:22:21.315,2021-09-14 ,15:35:02.324,-2,5089,0.46578065,3885.6067,184.9133

214,2021-09-15 15:00:01.287,2021-09-15 ,15:00:01.287,0,3574,1.3101748,2702.7,131.48
215,2021-09-16 15:00:03.285,2021-09-15 ,15:00:02.580,25,3913,0.30267572,3014.65,138.59006
216,2021-09-16 14:54:01.796,2021-09-15 ,23:19:21.031,-2,3569,0.5092945,2740.011,129.65138

217,2021-09-16 15:00:01.718,2021-09-16 ,15:00:01.718,0,2613,1.3295435,1984.96,97.42999
218,2021-09-16 15:00:03.297,2021-09-16 ,15:00:03.297,25,2888,0.37303904,2238.2344,101.33374
219,2021-09-17 14:27:03.242,2021-09-16 ,15:46:01.488,-2,5997,0.4779763,4566.6655,216.70729

220,2021-09-17 15:00:03.218,2021-09-17 ,15:00:03.218,0,4423,1.2676791,3319.84,162.87999
221,2021-09-17 15:00:28.169,2021-09-17 ,15:00:28.169,25,4166,0.2536682,3211.4395,146.70538
222,2021-09-18 14:29:00.624,2021-09-17 ,20:37:01.858,-2,5823,0.52294534,4446.659,210.47224

223,2021-09-18 15:00:01.307,2021-09-18 ,15:00:01.307,0,4402,1.3336811,3337.9,161.42
224,2021-09-18 15:00:02.895,2021-09-18 ,15:00:02.895,25,4611,0.3053572,3554.3574,162.09991
225,2021-09-19 14:28:01.960,2021-09-18 ,22:21:01.707,-2,4671,0.48383036,3577.83,171.1271

226,2021-09-19 15:00:02.763,2021-09-19 ,15:00:02.763,0,3284,1.3065135,2487.32,121.36999
228,2021-09-20 13:16:29.498,2021-09-19 ,15:19:44.743,-2,15393,0.94814605,11552.804,572.6364

229,2021-09-20 15:13:51.323,2021-09-20 ,15:13:51.323,0,13998,1.1167747,10235.36,551.85
230,2021-09-20 15:13:54.100,2021-09-20 ,15:13:54.100,25,13819,0.77449214,10548.582,486.7836
231,2021-09-22 04:20:04.533,2021-09-20 ,23:33:01.664,-2,4435,0.76615465,3332.9175,162.20541

232,2021-09-21 16:20:02.725,2021-09-21 ,16:20:02.725,0,3970,1.1697112,2930.98,150.68999
233,2021-09-22 15:00:05.109,2021-09-21 ,16:20:05.907,25,3528,0.55522037,2698.371,124.15637

234,2021-09-23 07:24:53.585,2021-09-22 ,00:25:08.974,-2,7265,0.7695698,5473.92,267.06656
235,2021-09-22 15:00:02.883,2021-09-22 ,15:00:02.883,0,5966,1.1650946,4400.05,228.81999
236,2021-09-23 15:00:03.451,2021-09-22 ,15:00:05.126,25,5812,0.54683477,4462.172,204.23993
237,2021-09-23 13:53:02.317,2021-09-22 ,22:15:42.172,-2,6280,0.49607056,4817.5615,222.6633

238,2021-09-23 15:00:01.707,2021-09-23 ,15:00:01.707,0,4875,1.346543,3714.49,175.15
239,2021-09-23 15:00:03.464,2021-09-23 ,15:00:03.464,25,4595,0.298776,3549.459,161.86261
240,2021-09-24 14:59:02.814,2021-09-23 ,16:42:02.561,-2,3786,0.5896656,2829.4521,139.28142

241,2021-09-24 15:24:39.988,2021-09-24 ,15:24:39.988,0,3207,1.1871339,2370.6199,122.54999
242,2021-09-24 15:24:49.877,2021-09-24 ,15:24:49.877,25,2837,0.4214028,2149.1543,100.25488
243,2021-09-25 14:43:47.290,2021-09-24 ,16:09:01.947,-2,875,0.21492901,673.2353,30.844683

244,2021-09-25 15:00:03.305,2021-09-25 ,15:00:03.305,0,216,1.1549088,159.41,8.07
245,2021-09-25 15:00:05.736,2021-09-25 ,15:00:05.736,25,783,0.19032219,605.2246,27.459839

246,2021-09-26 14:38:11.109,2021-09-26 ,00:17:01.163,-2,5659,0.6273899,4263.5645,211.48293
248,2021-09-26 15:00:04.853,2021-09-26 ,15:00:04.853,25,4760,0.5101095,3642.1816,167.29175
249,2021-09-27 14:55:38.293,2021-09-26 ,16:19:25.788,-2,2846,0.4471002,2150.1113,105.217026

250,2021-09-27 15:00:01.430,2021-09-27 ,15:00:01.430,0,2076,1.1962652,1539.07,79.44
251,2021-09-27 15:00:02.818,2021-09-27 ,15:00:02.818,25,2140,0.30477902,1645.8066,75.44324
252,2021-09-28 14:18:02.872,2021-09-27 ,15:41:07.424,-2,2815,0.28990254,2161.4036,101.74823

255,2021-09-29 14:44:02.373,2021-09-28 ,15:24:01.985,-2,3357,0.39265895,2560.673,120.076935

256,2021-09-29 15:00:02.870,2021-09-29 ,15:00:02.870,0,2124,1.2775826,1594.29,79.03
257,2021-09-29 15:00:04.721,2021-09-29 ,15:00:04.721,25,3030,0.34875482,2322.707,106.53113
258,2021-09-30 14:46:01.062,2021-09-29 ,16:32:02.425,-2,2449,0.2822474,1876.0624,88.85663

259,2021-09-30 15:00:01.416,2021-09-30 ,15:00:01.416,0,1148,1.3254544,868.15,43.05
261,2021-10-01 13:09:03.373,2021-09-30 ,15:26:02.373,-2,4207,0.372769,3208.2122,154.5809

262,2021-10-01 15:00:01.249,2021-10-01 ,15:00:01.249,0,2650,1.2867736,1989.5599,100.98998
263,2021-10-01 15:00:02.895,2021-10-01 ,15:00:02.895,25,3632,0.30166057,2787.3438,128.89587
264,2021-10-04 04:26:12.062,2021-10-01 ,15:40:02.821,-2,6581,0.4012139,4969.6353,246.63911

265,2021-10-02 16:19:11.519,2021-10-02 ,16:19:11.519,0,4145,1.169852,3058.24,163.87
266,2021-10-04 15:00:03.572,2021-10-02 ,16:19:14.117,25,5684,0.34537014,4330.9414,202.7732
267,2021-10-04 04:26:11.981,2021-10-02 ,23:14:27.313,-2,3847,0.36537066,2915.8435,145.22224

268,2021-10-03 16:40:52.891,2021-10-03 ,16:40:52.891,0,2284,1.1660478,1682.48,88.409996
