com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,3,2021-07-22 03:24:32.689,2021-07-22 03:24:32.689,통마늘제육봌음-양파,120001,c4911271-b74e-4004-8351-d7416d19779e,345.0,V57RQzDK0T,com.sec.android.app.shealth,a8a315e7-7d68-4dff-85e4-ba834515e3db,5d05ceb5-90fc-47f4-a9a6-7fe673af7b5b,
1.0,3,2021-09-29 02:16:50.632,2021-09-29 02:16:50.632,식혜,120001,eb543f11-fdeb-42a9-8766-e9141b76b669,65.0,V57RQzDK0T,com.sec.android.app.shealth,3b295bcb-82a7-47d3-9e55-963eef70e680,3c87c84e-2613-4221-b6b3-d6c8ddcb4c1b,
0.0,2,2021-07-14 05:40:13.089,2021-07-14 05:40:13.089,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,70f625e7-71b6-4318-966d-7c8142142365,34c4a45c-170a-4cf0-9749-4467369e7903,
0.0,2,2021-07-08 12:07:39.626,2021-07-08 12:07:39.626,231d4b10-4455-4869-aaf4-e43dc6b05fc4,,231d4b10-4455-4869-aaf4-e43dc6b05fc4,0.0,V57RQzDK0T,com.sec.android.app.shealth,38dfdf37-4cc2-46ec-83c4-6520ee39bec5,812db775-5909-4ee3-9678-9df2800befa3,
1.0,3,2021-07-22 03:23:37.714,2021-07-22 03:23:37.714,땅콩연근조림,120001,42efc9ac-9ad1-4a35-8a1d-103782ccbc98,54.0,V57RQzDK0T,com.sec.android.app.shealth,f703d9ae-2272-40a1-a9b5-c66a3dc7575a,600ad85c-2600-4bf0-914f-172e26717ded,
0.0,2,2021-07-14 05:41:16.541,2021-07-14 05:41:16.541,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,f1329b8a-92d3-4865-8af0-fc18b670accb,f5cf8563-019f-4e34-87d5-996c31ca434d,
1.0,3,2021-07-13 05:14:54.468,2021-07-13 05:14:54.468,브로콜리크림스프,120001,8651f713-5c22-4cd4-82ea-2b0c8807f739,210.0,V57RQzDK0T,com.sec.android.app.shealth,a9fe4f49-a33d-409c-a76e-4fa023ec3b4e,c5bf1562-e461-4048-8119-0fac0ae274e6,
1.0,3,2021-09-29 02:15:52.770,2021-09-29 02:15:52.770,도토리묵야채무침,120001,98281a10-20ef-4956-a15c-f22097cae7b1,57.0,V57RQzDK0T,com.sec.android.app.shealth,29c357fa-9237-41fe-b953-5d3f789caefa,0578e868-9c98-4352-9da2-234ee83ed104,
1.0,3,2021-09-29 02:16:39.410,2021-09-29 02:16:39.410,구운파래김,120001,332bb547-5a75-44e5-bb4c-81660cc8d7a5,10.0,V57RQzDK0T,com.sec.android.app.shealth,5a629dd5-6879-47b7-8ac0-39016def0471,2243545c-5570-442a-9052-1dfd85177df2,
1.0,3,2021-09-29 02:32:09.101,2021-09-29 02:32:09.101,당근숙주나물,120001,dabf379d-696d-49d0-ad89-437c255f4df5,47.0,V57RQzDK0T,com.sec.android.app.shealth,c6c628dc-5428-4b64-ab03-3c3de88e4222,4e7fd17b-2bb3-45f0-b824-03e52da11514,
1.0,3,2021-09-29 02:31:22.699,2021-09-29 02:31:22.699,혼합잡곡밥,120001,1789b6dc-5ee1-4b7b-98ca-231ca7e73f7e,300.0,V57RQzDK0T,com.sec.android.app.shealth,38d7e069-0df2-4f53-8bc3-11b0cca45fbb,e45459c4-6afe-4f6c-955e-9a37c953643e,
1.0,3,2021-09-29 02:15:23.427,2021-09-29 02:15:23.427,미트볼피망볶음,120001,a76fb79c-a0e8-4c9d-83e0-00669e77ca42,268.0,V57RQzDK0T,com.sec.android.app.shealth,5ca1b865-a852-406f-b7d6-76a82a385f58,7c264e85-9b9c-4f3d-9c2d-6f06fe950c03,
1.0,3,2021-07-14 05:37:35.649,2021-07-14 05:37:35.649,떡갈비피망조림,120001,f0425a28-b511-44dc-b827-2140983738e2,247.0,V57RQzDK0T,com.sec.android.app.shealth,3c1d34ad-d1f5-4b2a-8b24-436a1c3733cf,f5cf8563-019f-4e34-87d5-996c31ca434d,
1.0,3,2021-09-29 02:27:50.847,2021-09-29 02:27:50.847,청양소세지야채볶음,120001,50cc7aea-c93f-4d36-87a2-89659360c884,245.0,V57RQzDK0T,com.sec.android.app.shealth,79e2a9fc-77e9-45c7-a9c6-9974b3d30acb,d7710203-a850-49b2-9e8e-369e9f810c66,
1.0,3,2021-09-29 02:21:56.755,2021-09-29 02:21:56.755,미역줄기볶음,120001,c37f2508-c279-4661-afc3-2f8d31e80f94,0.0,V57RQzDK0T,com.sec.android.app.shealth,5269f267-514b-4aab-8414-0689f88ecbb9,d6c55ca0-7dcd-4999-940a-8d3dc84725aa,
0.0,2,2021-07-18 07:07:29.561,2021-07-18 07:07:29.561,8cbedcd4-a936-47d7-9c81-35af6b4d44af,,8cbedcd4-a936-47d7-9c81-35af6b4d44af,0.0,V57RQzDK0T,com.sec.android.app.shealth,5b444fb8-095f-4f49-9562-51fd415ce71d,bbeab744-0456-4885-afe4-fd456def8df3,
0.0,2,2021-07-14 05:40:13.090,2021-07-14 05:40:13.090,37f27673-b1d9-4d03-8e86-70ec7df1e189,,37f27673-b1d9-4d03-8e86-70ec7df1e189,0.0,V57RQzDK0T,com.sec.android.app.shealth,db79945e-0780-4e02-adf4-1a4e40560a61,d12af88c-28ec-4e6b-a10c-02a32953de91,
1.0,3,2021-07-19 02:56:39.141,2021-07-19 02:56:39.141,보리차,120001,4f6c032c-0960-46e7-8f2c-7062981f1ad1,4.0,V57RQzDK0T,com.sec.android.app.shealth,58a47594-9957-48a5-9de4-282d81413cb0,eb8c59bf-9cd5-40e8-a40f-31d345132be6,
0.0,2,2021-07-14 05:41:16.542,2021-07-14 05:41:16.542,eb841608-6e3e-457e-9040-22fa1d743b49,,eb841608-6e3e-457e-9040-22fa1d743b49,0.0,V57RQzDK0T,com.sec.android.app.shealth,4d7a9900-007b-4ed7-9e27-57ee472b95f8,34c4a45c-170a-4cf0-9749-4467369e7903,
1.0,3,2021-07-19 03:00:57.040,2021-07-19 03:00:57.040,제호탕,120001,62cff13f-2868-43ee-97c2-440863ef660f,45.0,V57RQzDK0T,com.sec.android.app.shealth,73599d53-742d-4d09-9d25-8a94cb5a188f,36a3df77-c63c-4771-9957-84ba883c275c,
