com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.824370,com.sec.android.app.shealth,54,,32400000,2021. 07. 05. 오전 10:29:00,1.921515,m5awt1XVZi,,2021. 07. 05. 오전 10:30:00,16254485-0000-0000-0000-254485400000,35.390591,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.402883,com.sec.android.app.shealth,19,,32400000,2021. 07. 05. 오전 10:30:00,0.801300,m5awt1XVZi,,2021. 07. 05. 오전 10:31:00,16254486-0000-0000-0000-254486000000,10.220000,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.063192,com.sec.android.app.shealth,87,,32400000,2021. 07. 05. 오전 10:31:00,2.675603,m5awt1XVZi,,2021. 07. 05. 오전 10:32:00,16254486-0000-0000-0000-254486600000,53.496830,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.976399,com.sec.android.app.shealth,103,,32400000,2021. 07. 05. 오전 10:32:00,2.990787,m5awt1XVZi,,2021. 07. 05. 오전 10:33:00,16254487-0000-0000-0000-254487200000,58.073029,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.376154,com.sec.android.app.shealth,91,,32400000,2021. 07. 05. 오전 10:33:00,3.821000,m5awt1XVZi,,2021. 07. 05. 오전 10:34:00,16254487-0000-0000-0000-254487800000,83.176781,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.955055,com.sec.android.app.shealth,94,,32400000,2021. 07. 05. 오전 10:34:00,2.949861,m5awt1XVZi,,2021. 07. 05. 오전 10:35:00,16254488-0000-0000-0000-254488400000,56.720284,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.679489,com.sec.android.app.shealth,63,,32400000,2021. 07. 05. 오전 10:35:00,2.257295,m5awt1XVZi,,2021. 07. 05. 오전 10:36:00,16254489-0000-0000-0000-254489000000,37.674541,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.812579,com.sec.android.app.shealth,49,,32400000,2021. 07. 05. 오전 10:36:00,1.814685,m5awt1XVZi,,2021. 07. 05. 오전 10:37:00,16254489-0000-0000-0000-254489600000,33.040554,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.804142,com.sec.android.app.shealth,87,,32400000,2021. 07. 05. 오전 10:37:00,2.705576,m5awt1XVZi,,2021. 07. 05. 오전 10:38:00,16254490-0000-0000-0000-254490200000,48.561615,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
1.168405,com.sec.android.app.shealth,101,,32400000,2021. 07. 05. 오전 10:38:00,3.358958,m5awt1XVZi,,2021. 07. 05. 오전 10:39:00,16254490-0000-0000-0000-254490800000,69.934914,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
0.564535,com.sec.android.app.shealth,55,,32400000,2021. 07. 05. 오전 10:39:00,1.865286,m5awt1XVZi,,2021. 07. 05. 오전 10:40:00,16254491-0000-0000-0000-254491400000,28.390190,2021. 07. 05. 오후 3:32:24,2021. 07. 05. 오후 3:32:24,
