,duration,walk_step,start_date,start_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
207,,11,2021-10-27 ,09:11:00.000,0.16021322,9.612793,0.45715332,2021-10-27 09:11:59.000
208,,17,2021-10-27 ,09:13:00.000,0.22433268,13.459961,0.58969116,2021-10-27 09:13:59.000
209,,22,2021-10-27 ,09:16:00.000,0.28357342,17.014404,0.77111053,2021-10-27 09:16:59.000
210,,18,2021-10-27 ,09:17:00.000,0.22538656,13.523193,0.63596344,2021-10-27 09:17:59.000
211,,33,2021-10-27 ,09:18:00.000,0.41919354,25.151611,1.1611176,2021-10-27 09:18:59.000
212,,5,2021-10-27 ,09:19:00.000,0.06625163,3.9750977,0.17362213,2021-10-27 09:19:59.000
213,,13,2021-10-27 ,09:21:00.000,0.1703125,10.21875,0.45224762,2021-10-27 09:21:59.000
214,,15,2021-10-27 ,09:22:00.000,0.19366048,11.619629,0.52339935,2021-10-27 09:22:59.000
215,15763.0,30,2021-10-27 ,09:23:00.000,1.4508078,22.870003,1.0099999,2021-10-27 09:24:00.000
216,,17,2021-10-27 ,09:24:00.000,0.21370035,12.8220215,0.6034317,2021-10-27 09:24:59.000
217,,6,2021-10-27 ,09:25:00.000,0.08065999,4.8395996,0.20838165,2021-10-27 09:25:59.000
218,,7,2021-10-27 ,09:26:00.000,0.09567871,5.7407227,0.24010468,2021-10-27 09:26:59.000
219,,13,2021-10-27 ,09:28:00.000,0.16656494,9.9938965,0.45570374,2021-10-27 09:28:59.000
220,16559.0,32,2021-10-27 ,09:29:00.000,1.4886078,24.65,1.0899998,2021-10-27 09:30:00.000
221,,7,2021-10-27 ,09:33:00.000,0.09351806,5.611084,0.24238586,2021-10-27 09:33:59.000
222,,6,2021-10-27 ,09:42:00.000,0.07447103,4.4682617,0.2135086,2021-10-27 09:42:59.000
223,,7,2021-10-27 ,09:53:00.000,0.09047038,5.4282227,0.2444992,2021-10-27 09:53:59.000
224,,9,2021-10-27 ,09:54:00.000,0.10985108,6.5910645,0.3234787,2021-10-27 09:54:59.000
225,,14,2021-10-27 ,10:07:00.000,0.1818156,10.908936,0.48820496,2021-10-27 10:07:59.000
226,,12,2021-10-27 ,10:08:00.000,0.16165772,9.699463,0.41268158,2021-10-27 10:08:59.000
227,,15,2021-10-27 ,10:10:00.000,0.1884725,11.30835,0.5305023,2021-10-27 10:10:59.000
228,,8,2021-10-27 ,10:14:00.000,0.10522868,6.3137207,0.2780609,2021-10-27 10:14:59.000
229,,11,2021-10-27 ,10:15:00.000,0.1377889,8.267334,0.3899231,2021-10-27 10:15:59.000
230,,14,2021-10-27 ,10:16:00.000,0.18934733,11.36084,0.4836731,2021-10-27 10:16:59.000
231,,10,2021-10-27 ,10:22:00.000,0.13388266,8.032959,0.34606934,2021-10-27 10:22:59.000
232,,9,2021-10-27 ,10:27:00.000,0.11971436,7.1828613,0.3108139,2021-10-27 10:27:59.000
233,,6,2021-10-27 ,10:28:00.000,0.075354,4.52124,0.21298218,2021-10-27 10:28:59.000
234,,6,2021-10-27 ,10:29:00.000,0.078483075,4.7089844,0.21031952,2021-10-27 10:29:59.000
235,,28,2021-10-27 ,10:30:00.000,0.37654215,22.59253,0.9658356,2021-10-27 10:30:59.000
236,,12,2021-10-27 ,10:40:00.000,0.16005452,9.6032715,0.4169693,2021-10-27 10:40:59.000
237,,6,2021-10-27 ,10:41:00.000,0.073876955,4.432617,0.21481323,2021-10-27 10:41:59.000
238,,28,2021-10-27 ,10:43:00.000,0.3535848,21.215088,0.9859619,2021-10-27 10:43:59.000
239,,41,2021-10-27 ,10:44:00.000,0.5267985,31.60791,1.4413605,2021-10-27 10:44:59.000
240,,25,2021-10-27 ,10:46:00.000,0.31602782,18.96167,0.8821945,2021-10-27 10:46:59.000
241,26090.0,36,2021-10-27 ,10:50:00.000,1.0,26.09,1.35,2021-10-27 10:51:00.000
242,55080.0,89,2021-10-27 ,10:51:00.000,1.1944444,65.79,3.5,2021-10-27 10:52:00.000
243,,87,2021-10-27 ,10:51:00.000,1.0898031,65.38818,3.080185,2021-10-27 10:51:59.000
244,46832.0,86,2021-10-27 ,10:53:00.000,1.4003125,65.58,3.0100002,2021-10-27 10:54:00.000
245,,74,2021-10-27 ,10:53:00.000,0.9584473,57.506836,2.5837936,2021-10-27 10:53:59.000
246,,69,2021-10-27 ,10:54:00.000,0.86311036,51.78662,2.4393845,2021-10-27 10:54:59.000
